Asset,Exchange,LastPrice,RSI_14,SMA_20,SMA_50,SMA_200,ATR%_W,MovingAveragesRating,OscillatorsRating,VolatilityRating,LastDate
CROUSDT,OkxSpot,0.1119,46.831993,0.111555,0.121624,0.212064,0.298677,DOWN_TREND,BEARISH,MEDIUM,30.09.2022
CRVUSDT,OkxSpot,0.935,43.625719,0.98395,1.08558,1.469255,0.410576,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
CSPRUSDT,OkxSpot,0.03003,55.220274,0.029023,0.029531,0.043461,0.273961,UP_TREND,BULLISH,MEDIUM,30.09.2022
CTCUSDT,OkxSpot,0.306,43.883698,0.31205,0.34606,0.5901,0.514785,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
CTXCUSDT,OkxSpot,0.1119,43.487171,0.11534,0.124704,0.163519,0.365224,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
CVCUSDT,OkxSpot,0.1289,42.086676,0.13381,0.145228,0.192794,0.316806,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
CVPUSDT,OkxSpot,0.335,48.472875,0.34255,0.3499,0.46644,0.362759,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
CVTUSDT,OkxSpot,0.001476,49.34574,0.001498,0.001577,0.002303,0.438731,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
CVXUSDT,OkxSpot,4.98,49.294771,4.865,5.3036,12.234695,0.597432,DOWN_TREND,BEARISH,HIGH,30.09.2022
DAIUSDT,OkxSpot,0.9996,48.192333,0.999635,0.999684,1.00003,0.01009,STRONG_DOWN_TREND,BEARISH,LOW,30.09.2022
DAOUSDT,OkxSpot,1.408,29.812736,1.5754,1.71188,1.927665,0.292962,STRONG_DOWN_TREND,OVERSOLD,MEDIUM,30.09.2022
DASHUSDT,OkxSpot,42.37,46.141154,42.717,45.9654,65.8283,0.261471,STRONG_DOWN_TREND,BEARISH,MEDIUM,30.09.2022
DCRUSDT,OkxSpot,25.76,46.723052,25.81,28.4676,37.2883,0.378203,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
